"MES_REFERENCIA";"SUBMERCADO";"PLD_MEDIA_MES"
"201904";NORDESTE;42.35
"201904";NORTE;42.35
"201904";SUDESTE;180.41
"201904";SUL;180.41
"201905";NORDESTE;50.95
"201905";NORTE;50.95
"201905";SUDESTE;135.17
"201905";SUL;135.17
"201906";NORDESTE;78.52
"201906";NORTE;78.52
"201906";SUDESTE;78.52
"201906";SUL;78.52
"201907";NORDESTE;177.49
"201907";NORTE;177.49
"201907";SUDESTE;185.52
"201907";SUL;185.52
"201908";NORDESTE;211.33
"201908";NORTE;211.33
"201908";SUDESTE;237.29
"201908";SUL;237.29
"201909";NORDESTE;218.52
"201909";NORTE;218.52
"201909";SUDESTE;219.57
"201909";SUL;219.57
"201910";NORDESTE;273.89
"201910";NORTE;273.89
"201910";SUDESTE;273.89
"201910";SUL;273.89
"201911";NORDESTE;317.28
"201911";NORTE;317.28
"201911";SUDESTE;317.28
"201911";SUL;317.28
"201912";NORDESTE;227.3
"201912";NORTE;227.3
"201912";SUDESTE;227.3
"201912";SUL;227.3
"202001";NORDESTE;327.22
"202001";NORTE;327.22
"202001";SUDESTE;327.38
"202001";SUL;327.38
"202002";NORDESTE;149.8
"202002";NORTE;125.84
"202002";SUDESTE;154.44
"202002";SUL;175.16
"202003";NORDESTE;66.92
"202003";NORTE;43.1
"202003";SUDESTE;81.86
"202003";SUL;150.18
"202004";NORDESTE;39.68
"202004";NORTE;39.68
"202004";SUDESTE;39.68
"202004";SUL;39.68
"202005";NORDESTE;39.68
"202005";NORTE;39.68
"202005";SUDESTE;71.95
"202005";SUL;71.95
"202006";NORDESTE;68.83
"202006";NORTE;69.41
"202006";SUDESTE;114.79
"202006";SUL;114.79
"202007";NORDESTE;85.56
"202007";NORTE;88.82
"202007";SUDESTE;89.04
"202007";SUL;89.04
"202008";NORDESTE;68.28
"202008";NORTE;85.15
"202008";SUDESTE;85.15
"202008";SUL;85.15
"202009";NORDESTE;77.37
"202009";NORTE;100.84
"202009";SUDESTE;100.84
"202009";SUL;100.84
"202010";NORDESTE;182.12
"202010";NORTE;288.64
"202010";SUDESTE;288.64
"202010";SUL;288.64
"202011";NORDESTE;242.52
"202011";NORTE;502.7
"202011";SUDESTE;502.7
"202011";SUL;502.7
"202012";NORDESTE;265.01
"202012";NORTE;267.49
"202012";SUDESTE;267.49
"202012";SUL;267.49
